# hs_truth_z, event_#
32.8519,1061.0000
19.8609,1062.0000
84.6433,1063.0000
7.6001,1064.0000
39.4722,1065.0000
39.3917,1066.0000
-56.5015,1067.0000
-6.3907,1068.0000
-17.7112,1069.0000
-48.1720,1070.0000
-11.8703,1071.0000
8.8838,1072.0000
32.0698,1073.0000
58.6379,1074.0000
-47.9114,1075.0000
50.3572,1076.0000
-30.5101,1077.0000
74.3361,1078.0000
-24.6016,1079.0000
31.3499,1080.0000
-25.4195,1081.0000
-13.7380,1082.0000
5.0478,1083.0000
-7.1784,1084.0000
34.4776,1085.0000
-17.5669,1086.0000
15.7947,1087.0000
32.3399,1088.0000
31.7342,1089.0000
-38.0833,1090.0000
-14.2623,1091.0000
74.7650,1092.0000
-1.9055,1093.0000
-6.5809,1094.0000
-26.4711,1095.0000
92.6510,1096.0000
-47.4502,1097.0000
73.4233,1098.0000
-16.5663,1099.0000
-73.1470,1100.0000
-25.1820,1101.0000
51.0422,1102.0000
-6.7337,1103.0000
16.8638,1104.0000
68.6399,1105.0000
4.9070,1106.0000
-75.8874,1107.0000
-21.6045,1108.0000
33.1256,1109.0000
16.7105,1110.0000
11.7439,1111.0000
-38.7650,1112.0000
26.2065,1113.0000
6.0966,1114.0000
-90.6125,1115.0000
7.9299,1116.0000
-60.2327,1117.0000
-17.2830,1118.0000
61.0282,1119.0000
-24.5556,1120.0000
-11.1791,1121.0000
45.3164,1122.0000
42.0023,1123.0000
30.4579,1124.0000
20.2243,1125.0000
47.0196,1126.0000
-20.6134,1127.0000
9.7722,1128.0000
-17.2683,1129.0000
1.3076,1130.0000
10.5926,1131.0000
-4.3509,1132.0000
-57.0761,1133.0000
32.4586,1134.0000
27.1927,1135.0000
7.7198,1136.0000
-53.0125,1137.0000
27.0278,1138.0000
31.6267,1139.0000
-28.9042,1140.0000
69.3718,1141.0000
107.6099,1142.0000
15.2588,1143.0000
84.3778,1144.0000
73.2311,1145.0000
-10.8560,1146.0000
-83.3440,1147.0000
-20.0072,1148.0000
-66.9706,1149.0000
82.8121,1150.0000
-25.7113,1151.0000
-9.1150,1152.0000
-39.9093,1153.0000
2.3145,1154.0000
-26.2357,1155.0000
-0.1541,1156.0000
85.9606,1157.0000
57.6061,1158.0000
34.1233,1159.0000
-6.4454,1160.0000
22.5751,1161.0000
0.5584,1162.0000
22.7983,1163.0000
6.1365,1164.0000
-92.8111,1165.0000
2.3840,1166.0000
68.5100,1167.0000
-27.5489,1168.0000
-57.4739,1169.0000
-9.9893,1170.0000
5.8788,1171.0000
59.4361,1172.0000
-38.2601,1173.0000
-22.1013,1174.0000
-30.6909,1175.0000
-23.1720,1176.0000
-55.2406,1177.0000
27.9323,1178.0000
-52.7452,1179.0000
20.7522,1180.0000
-51.7613,1181.0000
23.2812,1182.0000
-10.9554,1183.0000
56.9424,1184.0000
-6.6133,1185.0000
35.3866,1186.0000
-38.1345,1187.0000
5.4914,1188.0000
-39.3629,1189.0000
23.8937,1190.0000
6.6706,1191.0000
-29.7193,1192.0000
113.7612,1193.0000
8.1261,1194.0000
45.6174,1195.0000
0.0714,1196.0000
52.2502,1197.0000
4.1085,1198.0000
-26.4662,1199.0000
-50.4224,1200.0000
29.6457,1201.0000
54.6595,1202.0000
-11.8629,1203.0000
17.0345,1204.0000
56.6024,1205.0000
5.2169,1206.0000
-79.6920,1207.0000
-2.6642,1208.0000
-2.7745,1209.0000
-14.9131,1210.0000
44.4484,1211.0000
-13.9538,1212.0000
76.8019,1213.0000
-54.8491,1214.0000
-40.5481,1215.0000
-11.2843,1216.0000
37.5990,1217.0000
41.6233,1218.0000
67.5554,1219.0000
27.0618,1220.0000
69.8314,1221.0000
49.2891,1222.0000
-32.7889,1223.0000
1.5020,1224.0000
-20.5187,1225.0000
58.0215,1226.0000
18.8237,1227.0000
-74.8289,1228.0000
-63.5868,1229.0000
-77.8197,1230.0000
10.2804,1231.0000
63.3389,1232.0000
62.6749,1233.0000
0.7581,1234.0000
-51.6255,1235.0000
-20.8579,1236.0000
-80.9683,1237.0000
16.6040,1238.0000
-34.2778,1239.0000
-2.2301,1240.0000
83.4382,1241.0000
-41.1403,1242.0000
37.5183,1243.0000
-21.1638,1244.0000
48.4911,1245.0000
23.3788,1246.0000
2.4257,1247.0000
-7.7069,1248.0000
7.3800,1249.0000
30.7327,1250.0000
-33.2536,1251.0000
-21.3704,1252.0000
-44.1006,1253.0000
0.5647,1254.0000
60.8465,1255.0000
4.7409,1256.0000
-93.3695,1257.0000
40.5245,1258.0000
-51.2721,1259.0000
-60.5167,1260.0000
15.9948,1261.0000
11.7588,1262.0000
-15.1743,1263.0000
-13.6680,1264.0000
11.3100,1265.0000
-25.2144,1266.0000
52.1899,1267.0000
29.6127,1268.0000
38.8291,1269.0000
50.2897,1270.0000
-26.5820,1271.0000
-23.0827,1272.0000
25.7302,1273.0000
77.8634,1274.0000
22.9940,1275.0000
41.0338,1276.0000
7.9753,1277.0000
-25.3294,1278.0000
-9.7105,1279.0000
27.4412,1280.0000
-21.9756,1281.0000
41.6907,1282.0000
-92.3451,1283.0000
0.8865,1284.0000
-23.8532,1285.0000
-39.9091,1286.0000
56.0072,1287.0000
-22.3006,1288.0000
23.8211,1289.0000
-25.3572,1290.0000
-21.3736,1291.0000
7.1633,1292.0000
-32.2555,1293.0000
3.3609,1294.0000
-22.0935,1295.0000
-38.9833,1296.0000
15.2724,1297.0000
